"Source:","C:\Users\svbon\Desktop\PSUs\SEPIC\SEPIC.kicad_sch"
"Date:","15-Mar-22 13:50:06"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","28"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C0","470pF",":C_Small_1","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","C1","3.3uF",":C_Small_1","Capacitor_THT:C_Axial_L19.0mm_D8.0mm_P25.00mm_Horizontal","~"
"","","C2","470mF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"","","C3","470uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"","","C4","470uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"","","C5","470uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"","","C6","100nF",":C_Small_1","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"","","D0","3.3V ZENER","Device:D_Zener","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D1","1N5408","Diode:1N5408","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"","","D2","1N5408","Diode:1N5408","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"","","D3","1N5408","Diode:1N5408","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"","","D4","1N5408","Diode:1N5408","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"","","D5","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","H0","5mm SCREW TERMINAL",":Screw_Terminal_01x04_1","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~"
"","","H1","5mm SCREW TERMINAL",":Screw_Terminal_01x04_1","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~"
"","","IC0","NE555P",":NE555P_1","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"","","L0","1:1 15uH","Transformer:TRANSF1","Inductor_THT:L_CommonMode_Toroid_Vertical_L43.2mm_W22.9mm_Px17.78mm_Py30.48mm_Bourns_8100",""
"","","R0","10KO","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R1","10KO","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R2","1MO","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R3","100KO","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA9-H5_Horizontal","~"
"","","R4","1MO","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA9-H5_Horizontal","~"
"","","R5","10MO","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R6","1MO","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","T0","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"","","T1","IRF3205","Transistor_FET:IRF3205","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.irf.com/product-info/datasheets/data/irf3205.pdf"
"","","T2","2N7000",":2N7000_1","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"","","T3","2N3906","Transistor_BJT:2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C0","470pF",":C_Small_1","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"2","1","C1","3.3uF",":C_Small_1","Capacitor_THT:C_Axial_L19.0mm_D8.0mm_P25.00mm_Horizontal","~"
"3","1","C2","470mF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"4","3","C3, C4, C5","470uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P2.50mm","~"
"5","1","C6","100nF",":C_Small_1","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"6","1","D0","3.3V ZENER","Device:D_Zener","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"7","4","D1, D2, D3, D4","1N5408","Diode:1N5408","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88516/1n5400.pdf"
"8","1","D5","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"9","2","H0, H1","5mm SCREW TERMINAL",":Screw_Terminal_01x04_1","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~"
"10","1","IC0","NE555P",":NE555P_1","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf"
"11","1","L0","1:1 15uH","Transformer:TRANSF1","Inductor_THT:L_CommonMode_Toroid_Vertical_L43.2mm_W22.9mm_Px17.78mm_Py30.48mm_Bourns_8100",""
"12","2","R0, R1","10KO","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"13","2","R2, R6","1MO","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"14","1","R3","100KO","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA9-H5_Horizontal","~"
"15","1","R4","1MO","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA9-H5_Horizontal","~"
"16","1","R5","10MO","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"17","1","T0","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"18","1","T1","IRF3205","Transistor_FET:IRF3205","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.irf.com/product-info/datasheets/data/irf3205.pdf"
"19","1","T2","2N7000",":2N7000_1","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
"20","1","T3","2N3906","Transistor_BJT:2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
